id,key,value,type
81540665,highway,motorway_junction,regular
81540665,ref,25,regular
81582370,highway,traffic_signals,regular
81582370,traffic_signals,signal,regular
81582376,highway,traffic_signals,regular
81582376,traffic_signals,signal,regular
81635613,noref,yes,regular
81635613,highway,motorway_junction,regular
81645587,noref,yes,regular
81645587,highway,motorway_junction,regular
81647584,ref,26,regular
81647584,highway,motorway_junction,regular
81650619,ref,27A,regular
81650619,exit_to,Galatyn Pkwy / Renner Rd.,regular
81650619,highway,motorway_junction,regular
81652630,ref,24,regular
81652630,highway,motorway_junction,regular
81655281,highway,turning_circle,regular
81655476,noref,yes,regular
81655476,highway,motorway_junction,regular
81658440,highway,give_way,regular
81661130,noref,yes,regular
81661130,highway,motorway_junction,regular
81662599,highway,traffic_signals,regular
81668847,highway,turning_circle,regular
81672077,highway,turning_circle,regular
81673569,highway,turning_circle,regular
81689442,highway,turning_circle,regular
81690015,highway,turning_circle,regular
81690995,highway,turning_circle,regular
81691021,highway,turning_circle,regular
81698361,highway,traffic_signals,regular
81698366,highway,traffic_signals,regular
81698523,highway,traffic_signals,regular
81698526,highway,traffic_signals,regular
81701512,highway,turning_circle,regular
81704968,highway,turning_circle,regular
81725933,highway,turning_circle,regular
81731267,highway,turning_circle,regular
81736019,highway,turning_circle,regular
81742684,highway,traffic_signals,regular
81742684,traffic_signals,signal,regular
81742688,highway,traffic_signals,regular
81742688,traffic_signals,signal,regular
81742759,highway,traffic_signals,regular
81742759,traffic_signals,signal,regular
81744798,highway,turning_circle,regular
81750095,highway,traffic_signals,regular
81750095,traffic_signals,signal,regular
81750205,highway,traffic_signals,regular
81750205,traffic_signals,signal,regular
81751439,highway,turning_circle,regular
81763458,highway,turning_circle,regular
81773237,highway,turning_circle,regular
81803974,highway,turning_loop,regular
81809317,highway,turning_circle,regular
81811234,highway,traffic_signals,regular
81812753,highway,turning_circle,regular
81815737,highway,traffic_signals,regular
81823621,highway,turning_circle,regular
81826670,highway,turning_circle,regular
81831787,highway,turning_circle,regular
81832504,highway,turning_loop,regular
81848824,highway,turning_circle,regular
81853552,highway,turning_circle,regular
81859286,highway,turning_circle,regular
81859828,highway,turning_circle,regular
81864264,highway,turning_circle,regular
81868533,highway,turning_circle,regular
81875015,highway,turning_circle,regular
81881712,highway,turning_circle,regular
81887507,highway,turning_circle,regular
81906778,highway,turning_circle,regular
81906948,highway,turning_circle,regular
81912319,highway,turning_circle,regular
81913599,highway,turning_circle,regular
81915663,highway,turning_circle,regular
81937234,highway,turning_loop,regular
81939759,highway,turning_circle,regular
