id,user,uid,version,changeset,timestamp
9936851,balrog-kun,20587,2,4350083,2010-04-06T23:09:36Z
9936933,ChrisZontine,1376118,3,29125691,2015-02-26T23:56:16Z
9936998,NE2,207745,4,10349483,2012-01-10T09:29:22Z
9937000,Stephen214,4018842,6,43045851,2016-10-20T21:58:38Z
9937001,Dami_Tn,2012449,5,29099456,2015-02-25T19:41:39Z
9937059,ChrisZontine,1376118,3,29125691,2015-02-26T23:56:16Z
9937197,andrewpmk,1679,5,31536234,2015-05-28T16:45:18Z
9937292,brianboru,9065,2,398373,2008-08-25T00:06:25Z
9937560,LeTopographeFou,3178375,4,45673055,2017-01-31T04:40:48Z
9937617,brianboru,9065,2,668061,2008-11-03T19:38:29Z
9937705,R B Rainey,2362584,5,25707439,2014-09-27T15:00:29Z
9937766,brianboru,9065,2,640230,2008-09-15T15:22:45Z
9937783,ChrisZontine,1376118,2,29125488,2015-02-26T23:34:16Z
9937838,claysmalley,119881,4,10231760,2011-12-29T01:19:59Z
9937839,claysmalley,119881,4,10231760,2011-12-29T01:19:51Z
9937898,ChrisZontine,1376118,2,29125935,2015-02-27T00:20:07Z
9938144,brianboru,9065,2,640230,2008-09-15T15:04:18Z
9938151,brianboru,9065,3,640230,2008-09-15T15:04:38Z
9938341,ToffeHoff,7203,3,6903800,2011-01-08T13:46:25Z
9938342,ToffeHoff,7203,3,6903800,2011-01-08T13:46:26Z
9938343,brianboru,9065,2,352333,2008-08-21T13:15:35Z
9938476,R B Rainey,2362584,4,26005622,2014-10-11T14:56:13Z
9938545,Paul Johnson,92286,5,25469319,2014-09-16T01:36:46Z
9938629,brianboru,9065,2,668061,2008-11-03T19:30:42Z
9938800,Stephen214,4018842,3,43045851,2016-10-20T21:58:30Z
9938805,Stephen214,4018842,4,43045851,2016-10-20T21:58:31Z
9938824,ChrisZontine,1376118,2,29125935,2015-02-27T00:20:05Z
9938927,ChrisZontine,1376118,3,29125691,2015-02-26T23:56:16Z
9938928,ChrisZontine,1376118,3,29125691,2015-02-26T23:56:16Z
9938933,brianboru,9065,2,640230,2008-09-15T15:06:18Z
9939145,Stephen214,4018842,5,39653391,2016-05-30T00:47:25Z
9939159,homeslice60148,365944,6,14135406,2012-12-03T08:04:48Z
9939367,user_5359,5359,4,37994110,2016-03-22T08:15:58Z
9939393,Stephen214,4018842,3,43276075,2016-10-30T03:00:02Z
9939395,Stephen214,4018842,3,43045851,2016-10-20T21:58:30Z
9939400,jazztunes,581419,2,12799406,2012-08-20T19:23:32Z
9939463,ChrisZontine,1376118,4,29141877,2015-02-27T18:45:26Z
9939554,Stephen214,4018842,4,43045851,2016-10-20T21:58:32Z
9939562,brianboru,9065,2,352333,2008-08-21T13:15:40Z
9939563,wvdp,436419,4,36341828,2016-01-03T16:34:43Z
9939898,brianboru,9065,2,352333,2008-08-21T13:15:35Z
9939901,claysmalley,119881,3,11446245,2012-04-29T03:26:34Z
9939951,brianboru,9065,2,352333,2008-08-21T13:53:10Z
9939954,homeslice60148,365944,6,14135406,2012-12-03T08:04:53Z
9939956,jazztunes,581419,4,12790480,2012-08-20T01:25:33Z
9939959,scottyc,496606,3,22216857,2014-05-08T19:24:08Z
9940105,ChrisZontine,1376118,2,29125488,2015-02-26T23:34:16Z
9940411,Stephen214,4018842,3,43276075,2016-10-30T03:00:02Z
9940413,brianboru,9065,2,352333,2008-08-21T13:15:40Z
9940710,ChrisZontine,1376118,2,29125488,2015-02-26T23:34:16Z
9940740,ChrisZontine,1376118,2,29125488,2015-02-26T23:34:16Z
9940741,jazztunes,581419,3,12799406,2012-08-20T19:23:35Z
9940980,DaveHansenTiger,7168,1,263568,2007-10-20T19:21:36Z
9941481,ChrisZontine,1376118,2,29125488,2015-02-26T23:34:16Z
9941784,brianboru,9065,5,640230,2008-09-15T15:26:43Z
9941786,brianboru,9065,6,640230,2008-09-15T15:27:21Z
9941839,ChrisZontine,1376118,3,29125488,2015-02-26T23:34:16Z
9942041,Stephen214,4018842,2,43045851,2016-10-20T21:58:36Z
9942302,claysmalley,119881,5,45700118,2017-01-31T22:43:12Z
9942395,brianboru,9065,2,640230,2008-09-15T15:03:02Z
9942397,brianboru,9065,2,640230,2008-09-15T15:02:08Z
9942584,KristenK,1494110,3,20145454,2014-01-22T17:23:25Z
9942586,brianboru,9065,2,640230,2008-09-15T15:30:47Z
9943212,ChrisZontine,1376118,3,29125488,2015-02-26T23:34:16Z
9943502,brianboru,9065,2,352333,2008-08-21T13:53:10Z
9943760,stangoodman,224610,2,22574148,2014-05-27T01:19:30Z
9944189,stangoodman,224610,3,22574148,2014-05-27T01:19:30Z
9944453,brianboru,9065,2,640230,2008-09-15T15:12:41Z
9944559,KristenK,1494110,3,16354165,2013-05-30T16:37:08Z
9944783,Stephen214,4018842,2,43045851,2016-10-20T21:58:33Z
9945088,ChrisZontine,1376118,3,29140519,2015-02-27T17:37:25Z
9945089,ChrisZontine,1376118,3,29140519,2015-02-27T17:37:25Z
9945172,NE2,207745,5,10174067,2011-12-21T18:32:52Z
9945307,ChrisZontine,1376118,3,25507248,2014-09-17T18:59:15Z
9945309,ediyes,1240849,6,39412020,2016-05-18T21:57:29Z
9945473,ChrisZontine,1376118,3,29142121,2015-02-27T18:59:53Z
9945569,ChrisZontine,1376118,2,29140519,2015-02-27T17:37:25Z
9945571,stangoodman,224610,3,22586800,2014-05-27T18:29:44Z
9945575,stangoodman,224610,3,22586800,2014-05-27T18:29:44Z
9945841,Paul Johnson,92286,4,25469319,2014-09-16T01:37:41Z
9945927,jazztunes,581419,3,10405674,2012-01-16T05:56:34Z
9946015,wvdp,436419,5,36341828,2016-01-03T16:34:44Z
9946115,Paul Johnson,92286,5,25469319,2014-09-16T01:37:59Z
9946117,Paul Johnson,92286,5,25469319,2014-09-16T01:36:34Z
9946318,Stephen214,4018842,2,43045851,2016-10-20T21:58:37Z
9946603,LeTopographeFou,3178375,3,45673055,2017-01-31T04:40:48Z
9946605,claysmalley,119881,4,45700118,2017-01-31T22:43:12Z
9946692,scottyc,496606,4,22216857,2014-05-08T19:24:04Z
9946765,ChrisZontine,1376118,3,29125488,2015-02-26T23:34:16Z
9946828,scottyc,496606,2,22209787,2014-05-08T13:56:40Z
9946865,ChrisZontine,1376118,3,29125935,2015-02-27T00:20:05Z
9946870,ChrisZontine,1376118,3,25507248,2014-09-17T18:59:13Z
9946916,brianboru,9065,2,640230,2008-09-15T15:23:32Z
9947034,ChrisZontine,1376118,5,29141877,2015-02-27T18:45:26Z
9947196,brianboru,9065,2,668061,2008-11-03T19:23:13Z
9947267,Paul Johnson,92286,3,25469319,2014-09-16T01:39:04Z
9947279,mregan,61257,4,34214060,2015-09-23T20:15:38Z
9947327,Stephen214,4018842,3,43045851,2016-10-20T21:58:33Z
9947497,DaveHansenTiger,7168,1,264560,2007-10-20T20:19:25Z
9947548,ChrisZontine,1376118,2,29140519,2015-02-27T17:37:25Z
9947703,claysmalley,119881,3,11446245,2012-04-29T03:26:25Z
9947768,KristenK,1494110,3,16354314,2013-05-30T16:48:09Z
9947770,KristenK,1494110,3,16354321,2013-05-30T16:48:40Z
9947867,brianboru,9065,2,640230,2008-09-15T15:05:35Z
9947943,brianboru,9065,3,668061,2008-11-03T19:29:53Z
9948014,scottyc,496606,5,22240226,2014-05-09T21:18:18Z
9948136,NE2,207745,4,10349483,2012-01-10T09:29:32Z
9948139,brianboru,9065,2,352333,2008-08-21T13:15:41Z
9948251,DaveHansenTiger,7168,1,264560,2007-10-20T20:23:53Z
9948502,NE2,207745,4,10349483,2012-01-10T09:29:31Z
9948625,brianboru,9065,2,398373,2008-08-25T00:06:17Z
9948718,ChrisZontine,1376118,2,29125935,2015-02-27T00:20:04Z
9948722,ChrisZontine,1376118,2,29125935,2015-02-27T00:20:07Z
9948819,DaveHansenTiger,7168,1,264560,2007-10-20T20:27:51Z
9948898,LeTopographeFou,3178375,4,45673055,2017-01-31T04:40:48Z
9948901,brianboru,9065,2,352333,2008-08-21T13:15:39Z
9948905,LeTopographeFou,3178375,4,45673055,2017-01-31T04:40:48Z
9949026,R B Rainey,2362584,2,26005622,2014-10-11T14:56:12Z
9949154,balrog-kun,20587,2,4350083,2010-04-06T23:10:15Z
9949158,balrog-kun,20587,2,4350083,2010-04-06T23:10:16Z
9949163,balrog-kun,20587,2,4350083,2010-04-06T23:10:16Z
9949175,balrog-kun,20587,2,4350083,2010-04-06T23:10:17Z
9949259,balrog-kun,20587,2,4350083,2010-04-06T23:10:22Z
9949311,RadicalBender,1709524,3,17292840,2013-08-10T16:02:51Z
9949380,scottyc,496606,3,22240226,2014-05-09T21:18:13Z
9949457,DaveHansenTiger,7168,1,264560,2007-10-20T20:32:06Z
9949469,balrog-kun,20587,2,4350083,2010-04-06T23:10:37Z
9949585,balrog-kun,20587,2,4350083,2010-04-06T23:10:45Z
9949659,balrog-kun,20587,2,4350083,2010-04-06T23:10:53Z
9949971,grossing,175600,3,4683251,2010-05-13T08:11:06Z
9950077,Bremag,209374,4,11226628,2012-04-08T15:30:30Z
9950422,jazztunes,581419,4,15241710,2013-03-04T01:42:31Z
9950551,scottyc,496606,3,22240226,2014-05-09T21:18:22Z
9950575,R B Rainey,2362584,3,25707439,2014-09-27T15:00:23Z
9951259,wdreinhart,1715309,3,22450987,2014-05-20T17:37:55Z
9951281,balrog-kun,20587,2,4350083,2010-04-06T23:13:32Z
9951333,grossing,175600,3,4683251,2010-05-13T09:46:49Z
9951497,balrog-kun,20587,2,4350083,2010-04-06T23:13:51Z
9951559,balrog-kun,20587,2,4350083,2010-04-06T23:13:58Z
9951566,balrog-kun,20587,2,4350083,2010-04-06T23:13:58Z
9951699,balrog-kun,20587,2,4350083,2010-04-06T23:14:11Z
9951703,R B Rainey,2362584,3,26005622,2014-10-11T14:56:11Z
9951987,balrog-kun,20587,2,4350083,2010-04-06T23:14:36Z
9952023,scottyc,496606,2,22240226,2014-05-09T21:18:17Z
9952041,balrog-kun,20587,2,4350083,2010-04-06T23:14:41Z
9952069,DaveHansenTiger,7168,1,264560,2007-10-20T20:50:10Z
9952109,grossing,175600,3,4683251,2010-05-13T09:46:13Z
9952350,Brian@Brea,416346,3,9381771,2011-09-24T06:42:28Z
9952450,grossing,175600,7,4683251,2010-05-13T08:11:43Z
9952460,andrewpmk,1679,8,31360346,2015-05-22T04:27:30Z
9952993,balrog-kun,20587,2,4350083,2010-04-06T23:16:13Z
9953036,pratikyadav,2905914,4,33790630,2015-09-04T10:44:32Z
9953040,balrog-kun,20587,2,4350083,2010-04-06T23:16:18Z
9953082,DaveHansenTiger,7168,1,264560,2007-10-20T20:58:15Z
9953395,balrog-kun,20587,2,4350083,2010-04-06T23:16:48Z
9953519,balrog-kun,20587,2,4350083,2010-04-06T23:16:58Z
9953625,scottyc,496606,3,22240226,2014-05-09T21:18:14Z
9953807,balrog-kun,20587,2,4350083,2010-04-06T23:17:28Z
9953834,balrog-kun,20587,2,4350083,2010-04-06T23:17:30Z
9953857,scottyc,496606,3,22209787,2014-05-08T13:56:36Z
9954180,jazztunes,581419,3,12799406,2012-08-20T18:29:58Z
9954318,balrog-kun,20587,2,4350083,2010-04-06T23:18:10Z
9954384,balrog-kun,20587,2,4350083,2010-04-06T23:18:14Z
9954786,mb32,2453063,4,44541153,2016-12-20T13:21:26Z
9955001,balrog-kun,20587,2,4350083,2010-04-06T23:18:57Z
9955068,balrog-kun,20587,2,4350083,2010-04-06T23:19:02Z
9955115,balrog-kun,20587,2,4350083,2010-04-06T23:19:06Z
9955122,balrog-kun,20587,2,4350083,2010-04-06T23:19:06Z
9955156,scottyc,496606,3,22240226,2014-05-09T21:18:28Z
9955164,balrog-kun,20587,2,4350083,2010-04-06T23:19:09Z
9955181,balrog-kun,20587,2,4350083,2010-04-06T23:19:10Z
9955188,claysmalley,119881,8,45700118,2017-01-31T22:43:13Z
9955201,claysmalley,119881,11,45700118,2017-01-31T22:43:13Z
9955255,scottyc,496606,3,22240226,2014-05-09T21:18:29Z
9955343,balrog-kun,20587,2,4350083,2010-04-06T23:19:22Z
9955346,balrog-kun,20587,2,4350083,2010-04-06T23:19:22Z
9955355,balrog-kun,20587,2,4350083,2010-04-06T23:19:23Z
9955379,Eric Godwin,575547,4,24489917,2014-08-01T22:14:11Z
9955574,wvdp,436419,5,36341828,2016-01-03T16:34:40Z
9955697,ChrisZontine,1376118,3,29125488,2015-02-26T23:34:14Z
9955700,ChrisZontine,1376118,3,29125488,2015-02-26T23:34:14Z
9955767,balrog-kun,20587,2,4350083,2010-04-06T23:19:44Z
9955769,balrog-kun,20587,2,4350083,2010-04-06T23:19:44Z
9955904,balrog-kun,20587,2,4350083,2010-04-06T23:19:50Z
9955934,balrog-kun,20587,2,4350083,2010-04-06T23:19:53Z
