id,key,value,type
9936851,name,Rutgers Drive,regular
9936851,highway,residential,regular
9936851,cfcc,A41,tiger
9936851,tlid,102915625:102915577,tiger
9936851,county,"Dallas, TX",tiger
9936851,source,tiger_import_dch_v0.6_20070829,tiger
9936851,reviewed,no,tiger
9936851,zip_left,75081,tiger
9936851,name_base,Rutgers,tiger
9936851,name_type,Drive,tiger
9936851,separated,no,tiger
9936851,zip_right,75081,tiger
9936933,highway,secondary_link,regular
9936998,oneway,yes,regular
9936998,highway,secondary_link,regular
9936998,old_ref,SH 5 (old US 75),regular
9936998,cfcc,A63,tiger
9936998,tlid,103257451:103257448,tiger
9936998,county,"Dallas, TX",tiger
9936998,source,tiger_import_dch_v0.6_20070829,tiger
9936998,reviewed,no,tiger
9936998,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9937000,highway,service,regular
9937000,cfcc,A41,tiger
9937000,county,"Dallas, TX",tiger
9937000,reviewed,no,tiger
9937001,lanes,1,regular
9937001,oneway,yes,regular
9937001,highway,motorway_link,regular
9937001,placement,transition,regular
9937001,cfcc,A63,tiger
9937001,destination,Collins Boulevard;Arapahoe Road,regular
9937001,county,"Dallas, TX",tiger
9937059,oneway,yes,regular
9937059,highway,secondary_link,regular
9937197,lanes,1,regular
9937197,oneway,yes,regular
9937197,highway,unclassified,regular
9937197,surface,asphalt,regular
9937197,cfcc,A63,tiger
9937197,county,"Dallas, TX",tiger
9937197,reviewed,no,tiger
9937292,highway,unclassified,regular
9937292,created_by,Potlatch 0.10b,regular
9937292,cfcc,A63,tiger
9937292,tlid,103257350,tiger
9937292,county,"Dallas, TX",tiger
9937292,source,tiger_import_dch_v0.6_20070829,tiger
9937292,reviewed,no,tiger
9937292,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9937560,highway,service,regular
9937560,cfcc,A63,tiger
9937560,county,"Dallas, TX",tiger
9937617,highway,unclassified,regular
9937617,created_by,Potlatch 0.10f,regular
9937617,cfcc,A63,tiger
9937617,tlid,103273942:103254198,tiger
9937617,county,"Dallas, TX",tiger
9937617,source,tiger_import_dch_v0.6_20070829,tiger
9937617,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9937705,highway,service,regular
9937705,service,alley,regular
9937705,cfcc,A73,tiger
9937705,county,"Dallas, TX",tiger
9937705,reviewed,no,tiger
9937766,highway,unclassified,regular
9937766,created_by,Potlatch 0.10b,regular
9937766,cfcc,A63,tiger
9937766,tlid,103257461,tiger
9937766,county,"Dallas, TX",tiger
9937766,source,tiger_import_dch_v0.6_20070829,tiger
9937766,reviewed,no,tiger
9937766,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9937783,highway,service,regular
9937783,service,driveway,regular
9937783,cfcc,A73,tiger
9937783,county,"Dallas, TX",tiger
9937838,oneway,yes,regular
9937838,highway,secondary_link,regular
9937838,cfcc,A63,tiger
9937838,tlid,103274044:103254612:103254596,tiger
9937838,county,"Dallas, TX",tiger
9937838,source,tiger_import_dch_v0.6_20070829,tiger
9937838,reviewed,no,tiger
9937838,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9937839,oneway,yes,regular
9937839,highway,secondary_link,regular
9937839,cfcc,A63,tiger
9937839,tlid,103274045:103254606:103254613,tiger
9937839,county,"Dallas, TX",tiger
9937839,source,tiger_import_dch_v0.6_20070829,tiger
9937839,reviewed,no,tiger
9937839,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9937898,highway,service,regular
9937898,service,parking_aisle,regular
9938144,highway,secondary,regular
9938144,created_by,Potlatch 0.10b,regular
9938144,cfcc,A41,tiger
9938144,tlid,103257054,tiger
9938144,county,"Dallas, TX",tiger
9938144,source,tiger_import_dch_v0.6_20070829,tiger
9938144,separated,no,tiger
9938144,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9938151,highway,secondary,regular
9938151,created_by,Potlatch 0.10b,regular
9938151,cfcc,A63,tiger
9938151,tlid,103257059,tiger
9938151,county,"Dallas, TX",tiger
9938151,source,tiger_import_dch_v0.6_20070829,tiger
9938151,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9938341,oneway,yes,regular
9938341,highway,secondary_link,regular
9938341,cfcc,A63,tiger
9938341,tlid,103257260,tiger
9938341,county,"Dallas, TX",tiger
9938341,source,tiger_import_dch_v0.6_20070829,tiger
9938341,reviewed,no,tiger
9938341,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9938342,oneway,yes,regular
9938342,highway,secondary_link,regular
9938342,cfcc,A63,tiger
9938342,tlid,103257263,tiger
9938342,county,"Dallas, TX",tiger
9938342,source,tiger_import_dch_v0.6_20070829,tiger
9938342,reviewed,no,tiger
9938342,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9938343,highway,unclassified,regular
9938343,cfcc,A63,tiger
9938343,tlid,103257267,tiger
9938343,county,"Dallas, TX",tiger
9938343,source,tiger_import_dch_v0.6_20070829,tiger
9938343,reviewed,no,tiger
9938343,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9938476,highway,service,regular
9938476,service,alley,regular
9938476,cfcc,A73,tiger
9938476,county,"Dallas, TX",tiger
9938545,lanes,1,regular
9938545,oneway,yes,regular
9938545,highway,motorway_link,regular
9938545,placement,transition,regular
